Rainfall,Humidity3pm,Pressure9am,RainToday,RainTomorrow
0,37,1022.2,No,No
0,43,1025,No,No
0,50,1024.6,No,Yes
4.2,74,1021.4,Yes,No
0.8,58,1021.7,No,No
0,48,1023.4,No,No
0,44,1025.6,No,No
0,44,1030.3,No,No
0,46,1034.1,No,Yes
1.2,75,1031.9,Yes,Yes
1.4,75,1029.3,Yes,Yes
4.8,97,1023.5,Yes,Yes
8,58,1021,Yes,No
0,57,1017.9,No,No
0.2,91,1015.2,No,Yes
14.4,80,1007.5,Yes,Yes
4.6,79,1009.6,Yes,Yes
2,95,1011.1,Yes,Yes
5.6,56,1017.6,Yes,No
0,72,1025.1,No,No
0,72,1025.7,No,No
0,60,1018.3,No,No
0,49,1011.8,No,No
0.4,63,1013.9,No,No
0,49,1022.3,No,No
0,52,1029.7,No,No
0,63,1031.6,No,No
0,56,1030.8,No,No
0,56,1025.7,No,Yes
1.6,71,1021.9,Yes,Yes
5.6,78,1020.7,Yes,No
0,70,1020.2,No,Yes
6,65,1014.9,Yes,No
0,75,1015.5,No,Yes
4.4,73,1011.6,Yes,No
0,81,1007.8,No,Yes
5.4,76,1007.5,Yes,Yes
3.6,69,1011.4,Yes,Yes
2,73,1007.6,Yes,Yes
8.4,68,1006.5,Yes,Yes
5,74,1009.4,Yes,Yes
7.8,62,1008.6,Yes,No
0,76,1016.3,No,No
0,56,1019.9,No,No
0,65,1022.4,No,No
0,46,1026,No,No
0,54,1030.4,No,No
0.2,54,1032,No,No
0,62,1028.7,No,No
0.6,63,1020.5,No,No
0.6,53,1010.4,No,No
1,73,1007.6,No,Yes
6.8,75,1006.6,Yes,Yes
1.8,57,1010.5,Yes,No
0,57,1015.6,No,No
0.2,52,1022.4,No,No
0,64,1023,No,No
0.6,65,1021.6,No,No
0.2,53,1023.1,No,No
0,46,1019.7,No,No
0,81,1009.5,No,Yes
9.8,58,1015.1,Yes,No
0,58,1027.3,No,No
0,61,1026.8,No,No
0,74,1018,No,No
0,91,1019.9,No,Yes
3.8,71,1024,Yes,Yes
2.4,81,1026,Yes,No
0.2,76,1025.8,No,Yes
5.2,61,1021.3,Yes,No
0.2,70,1026.8,No,No
0.8,65,1027.9,No,No
0.8,49,1023.1,No,No
0,53,1021.7,No,Yes
5.4,76,1022.2,Yes,No
0.4,58,1021.9,No,No
0.8,47,1012.8,No,Yes
4.2,50,1026.4,Yes,No
0,48,1021.6,No,No
0.2,60,1018.6,No,No
0.4,59,1009,No,Yes
4.8,74,1011.5,Yes,No
0.2,87,1015.7,No,Yes
1.2,61,1021.1,Yes,No
0.2,57,1021.2,No,Yes
1.6,70,1012.2,Yes,Yes
3.2,57,1018.2,Yes,No
0,58,1029.8,No,No
0,61,1027.7,No,No
0,51,1019.7,No,No
1,85,1004,No,Yes
6.6,57,1012,Yes,Yes
3.8,67,1011.5,Yes,Yes
1.2,52,1004.1,Yes,Yes
2,53,1009.6,Yes,Yes
3.6,56,1016.1,Yes,No
0.4,49,1018.5,No,No
0,51,1016.9,No,Yes
4.2,80,1002.6,Yes,Yes
13.4,57,1014.2,Yes,Yes
1.4,72,1018.9,Yes,Yes
3,58,1023.2,Yes,No
0,45,1024.9,No,No
0,54,1016.6,No,Yes
1.4,58,1014.4,Yes,No
0,54,1019.5,No,No
0,47,1018.4,No,No
0,53,1005,No,No
0,59,1009.9,No,No
0,67,1012.8,No,No
NA,46,1022.2,NA,No
0,39,1020,No,No
0,25,1017,No,No
0,29,1022.6,No,No
0,44,1022.5,No,No
0,39,1022.2,No,No
0,73,1013.8,No,Yes
10.2,54,1021.2,Yes,No
0,46,1018.8,No,No
0.4,50,1014.6,No,No
0.2,50,1014.5,No,Yes
8.4,55,1002.6,Yes,Yes
28.8,54,997.8,Yes,Yes
1.4,55,1015.1,Yes,No
0,57,1009.3,No,Yes
6,72,1005.2,Yes,Yes
1.6,72,1009.8,Yes,No
0,56,1012.3,No,No
0,49,1015.6,No,No
0,36,1018,No,No
0,61,1012.4,No,No
0,55,1009.6,No,Yes
3.2,75,1014,Yes,Yes
1.8,75,1020.6,Yes,No
0.2,47,1020.7,No,No
0,77,1020.2,No,Yes
3.6,42,1018.7,Yes,No
0,43,1024,No,No
0,39,1027.7,No,No
0,36,1029.5,No,No
0,50,1022.6,No,No
0,64,1007.9,No,Yes
2,71,1001.9,Yes,Yes
7,60,1000.5,Yes,Yes
1.4,84,1008.5,Yes,Yes
6.8,56,1016,Yes,No
0,46,1022.7,No,No
0,50,1026.9,No,No
0,38,1026.6,No,No
0,31,1022.9,No,No
0,44,1018.9,No,No
0,38,1020.8,No,No
0,26,1019.6,No,No
0,28,1019.5,No,No
0,34,1014.7,No,No
0,38,1023.8,No,No
0,43,1027.5,No,No
0,41,1025.4,No,No
0,50,1023.4,No,No
0,46,1022.8,No,No
0,38,1022.3,No,No
0,35,1021.6,No,No
0,47,1018.8,No,No
0,39,1009.8,No,No
0,27,1017.1,No,No
0,28,1020.5,No,No
0,32,1025,No,No
0,27,1028.5,No,No
0,29,1029.1,No,No
0,29,1025.4,No,No
0,23,1021,No,No
0,18,1021.4,No,No
0,18,1018.9,No,No
0,22,1017.2,No,No
0,25,1015.6,No,No
0,16,1009.8,No,No
0,20,1007,No,No
0,18,1008,No,No
0,18,1010,No,No
0,11,1006.8,No,No
0,21,1007.6,No,Yes
10.6,91,1010.8,Yes,Yes
25.8,67,1003.7,Yes,No
0.4,37,1020.7,No,No
0,40,1024.6,No,No
0,36,1020.8,No,No
0,70,1012.2,No,Yes
10.2,56,1010.7,Yes,No
0,27,1006.5,No,Yes
9.4,54,1000.5,Yes,Yes
2.4,35,1010.3,Yes,No
0,31,1018.4,No,No
0,29,1022,No,No
0,16,1019.2,No,No
0,7,1015.9,No,No
0,22,1015.1,No,No
0,23,1015.9,No,No
0,19,1012.3,No,No
0,45,1006.9,No,Yes
1.2,24,1011.6,Yes,No
0,26,1008.9,No,No
1,30,1016.9,No,No
0,31,1019.2,No,No
0,27,1017.6,No,No
0,25,1018.7,No,No
0,22,1019.4,No,No
0,8,1017,No,No
0,28,1008.9,No,Yes
3,19,1015,Yes,No
0,23,1016.2,No,No
0,21,1018.1,No,No
0,10,1013.5,No,No
0,10,1010.9,No,No
0,12,1012.4,No,No
0,29,1006.5,No,Yes
9.8,49,1009.8,Yes,No
0,34,1014.7,No,No
0,74,1016.3,No,No
0,23,1015.2,No,No
0,24,1020,No,No
0,15,1022,No,No
0,35,1016.8,No,Yes
5,40,1012.2,Yes,Yes
12.4,48,1007.8,Yes,No
0,32,1014.4,No,No
0,24,1017.5,No,No
0,13,1014.9,No,No
0,7,1014.1,No,No
0,17,1014.9,No,No
0,19,1018,No,No
0,19,1017.2,No,No
0,8,1015.4,No,No
0,15,1013.8,No,No
0.2,12,1007.7,No,No
0.4,79,1009.8,No,Yes
3,28,1016.1,Yes,No
0,20,1015.6,No,No
0,11,1009.6,No,No
0,24,1006.9,No,No
0,30,1007.7,No,No
0,27,1011.5,No,No
0,15,1011.8,No,No
0,18,1010.7,No,No
0,9,1008.8,No,No
0,9,1006.7,No,No
0,22,1013.2,No,No
0,8,1011.4,No,No
0,10,1010,No,No
0,14,1011.4,No,No
0,8,1008.5,No,No
0,14,1009,No,No
0,22,1015.3,No,No
0,16,1014.2,No,No
0,19,1014,No,Yes
8.6,24,1016.1,Yes,No
0,23,1014,No,No
0,44,1010.8,No,Yes
52.2,70,1009.9,Yes,Yes
5.6,38,1016.4,Yes,No
0,32,1020.8,No,No
0,32,1020.8,No,No
NA,28,1018.8,NA,No
NA,67,1008.5,NA,No
0,59,1009.9,No,No
0,43,1006.8,No,No
0,44,1008.6,No,No
0,34,1014.7,No,No
NA,24,1020.4,NA,No
0,34,1023.6,No,No
0,35,1018.9,No,No
0.6,59,1015.3,No,Yes
3.6,70,1014.6,Yes,No
0.2,34,1017.3,No,No
0,35,1020.3,No,No
0,33,1023.9,No,No
NA,62,1019.4,NA,Yes
1.4,45,1016.7,Yes,No
NA,23,1019.3,NA,No
0,26,1018.6,No,No
0,35,1014.2,No,No
0,93,1008.8,No,Yes
20.6,48,1010,Yes,Yes
5.8,82,1013.3,Yes,Yes
66,38,1008.7,Yes,Yes
6.2,67,1014.4,Yes,No
NA,40,1031.4,NA,No
0,40,1036.3,No,No
0,44,1035.2,No,No
0,37,1030,No,No
0,38,1025.5,No,No
0,28,1023.8,No,No
0,35,1025.6,No,No
0,36,1025.4,No,No
0,31,1020.4,No,No
0,36,1020.2,No,No
0,46,1018.7,No,No
0,36,1020.8,No,No
0,23,1021.2,No,No
0,31,1022,No,No
0,32,1021.8,No,No
0,32,1019.2,No,No
0,32,1019.8,No,No
0,41,1016.4,No,Yes
11,61,1015.8,Yes,No
0.4,44,1019.6,No,No
0,42,1021.2,No,No
0,44,1020,No,No
0,42,1019.8,No,No
0,41,1020.7,No,No
0,37,1022.1,No,No
0,38,1020.7,No,No
0,40,1017.9,No,Yes
3,69,1012.8,Yes,Yes
3.2,53,1016.7,Yes,No
0,55,1016.1,No,No
0.2,79,1011.6,No,Yes
7,43,1010.1,Yes,No
0,54,1018.1,No,No
0,49,1023.8,No,No
0,49,1023.6,No,No
0,40,1022.6,No,No
0,45,1026.5,No,No
0,38,1027.8,No,No
0,47,1027.1,No,No
0,46,1025.7,No,No
0,49,1024.6,No,No
0,44,1022.8,No,No
0,40,1023.6,No,No
0,34,1020.5,No,Yes
3.6,86,1013.4,Yes,Yes
17,40,1016.2,Yes,No
0,49,1026.5,No,No
0,58,1020.9,No,Yes
1.6,50,1022,Yes,No
0.4,69,1021.9,No,No
0,53,1026.8,No,No
0.2,46,1027.9,No,No
0,47,1026.7,No,No
0,39,1027.1,No,No
0.2,29,1017.8,No,Yes
3,51,1016.1,Yes,No
0,68,1022.3,No,No
0,56,1024.7,No,No
0,59,1023.7,No,No
0,54,1023.4,No,No
0,47,1020.8,No,No
0,47,1012.5,No,No
0,48,1022.8,No,No
0,55,1024.1,No,No
0.2,46,1021.2,No,No
0,44,1019.9,No,No
0,51,1021.6,No,No
0,50,1021.1,No,No
0,38,1020.9,No,No
0,39,1024.1,No,No
0,44,1023.8,No,No
0,42,1022.3,No,No
0,45,1023.3,No,No
0,35,1023.5,No,No
0,73,1017.6,No,Yes
10.4,99,1008.7,Yes,Yes
13.4,50,1008.9,Yes,No
0.2,59,1019.6,No,No
0,63,1019.4,No,Yes
28,89,1005.7,Yes,Yes
5.8,47,1004.7,Yes,No
0,48,1015.2,No,No
0,58,1020.7,No,No
0,60,1022.3,No,No
0,50,1026.5,No,No
0,53,1023.6,No,No
0,84,1018.7,No,No
0,61,1020.6,No,No
0,50,1026.7,No,No
0,49,1023.7,No,No
0,92,1012.9,No,Yes
2.4,57,1021.2,Yes,No
0,66,1023,No,No
0,51,1025.4,No,No
0,47,1031.8,No,No
0,50,1035.2,No,No
0,65,1032.3,No,No
0,73,1027.4,No,Yes
11.6,65,1010,Yes,Yes
2.2,70,1019.6,Yes,Yes
1.8,66,1019.4,Yes,No
0,86,1027.2,No,No
0.4,83,1034.5,No,No
0,61,1037.3,No,No
0,52,1036.9,No,No
0,56,1030.1,No,No
0,95,1021.9,No,Yes
10.2,71,1020.5,Yes,No
0.2,54,1024.3,No,No
0,70,1022.7,No,No
0,57,1021.2,No,No
0.2,78,1020.7,No,Yes
1.2,67,1025.2,Yes,No
0.2,70,1027.6,No,No
0,76,1030.5,No,No
0,77,1032.5,No,No
0.2,70,1027.5,No,Yes
5.6,56,1020.9,Yes,No
0,64,1026.9,No,No
0.4,50,1029.5,No,No
0,57,1030.9,No,No
0,61,1024.1,No,Yes
13.4,62,1020.6,Yes,No
0.2,62,1024.3,No,No
0,93,1016.8,No,Yes
21.4,91,1009.2,Yes,Yes
11,63,1020.2,Yes,No
0,56,1028.7,No,No
0,69,1029.2,No,No
0,59,1023.1,No,Yes
1.6,61,1018.8,Yes,No
0.2,62,1025.4,No,No
0,58,1029.3,No,No
0,51,1032.7,No,No
0,61,1035.5,No,No
0,60,1032.1,No,No
0.2,58,1031.7,No,No
0.2,52,1035.9,No,No
0.2,52,1036.1,No,No
0,67,1027.8,No,Yes
6.2,80,1018.5,Yes,No
0,86,1015.5,No,Yes
2.2,85,1013.7,Yes,Yes
4.2,93,1016.3,Yes,Yes
18.6,56,1019.5,Yes,No
0,51,1023.2,No,No
NA,65,1019.5,NA,No
0.2,59,1024.5,No,No
0.2,54,1026.9,No,No
0,58,1022.2,No,No
0,47,1022.4,No,Yes
7.2,77,1013.9,Yes,Yes
8.2,85,1006.2,Yes,Yes
10.8,45,1005.7,Yes,No
0,56,1016.7,No,No
0,67,1014.4,No,Yes
1.8,94,1004.5,Yes,Yes
10.2,65,1013.8,Yes,Yes
3.8,55,1024.1,Yes,No
0.2,86,1016.9,No,Yes
15.4,56,1008.2,Yes,Yes
2,58,1015.7,Yes,No
0,68,1018.7,No,No
0.2,49,1024,No,No
0.2,61,1017.7,No,Yes
1.8,55,1013.2,Yes,Yes
1.8,65,1010.9,Yes,Yes
9.6,70,1003.1,Yes,Yes
4,55,1009.5,Yes,No
0,58,1024.4,No,No
0,57,1029.6,No,No
0,51,1028.9,No,No
0,61,1024.8,No,No
0,71,1015.8,No,No
0.8,68,1016.5,No,No
0,55,1022.1,No,Yes
21.8,87,1004.7,Yes,Yes
20.8,67,1011.7,Yes,Yes
2.4,64,1019.7,Yes,Yes
1.2,49,1026.2,Yes,No
0,51,1026.9,No,No
0,90,1015.6,No,Yes
24.8,86,1004.5,Yes,Yes
3.2,54,1020.2,Yes,No
0,51,1022.5,No,No
0.4,47,1017.1,No,No
0,50,1014.7,No,No
0,58,1015.2,No,No
0,49,1019.2,No,No
0.2,54,1024,No,No
0,60,1021.8,No,No
0,55,1022.7,No,No
0,54,1026.1,No,No
0,64,1025.2,No,No
0,48,1025.8,No,No
0,52,1024.4,No,No
0,61,1023.9,No,No
0,52,1018.6,No,No
0,43,1020.5,No,No
0,50,1014.1,No,No
0,49,1016,No,No
0,43,1021.4,No,No
0,45,1026.3,No,No
0,42,1027.5,No,No
0,47,1028.2,No,No
0,45,1028.4,No,No
0,52,1024.6,No,No
0,52,1021.9,No,No
0,52,1019.8,No,Yes
10,42,1020,Yes,No
0,49,1025.3,No,No
0,49,1025.7,No,No
0,42,1029.4,No,No
0,45,1030.9,No,No
0.8,66,1027.7,No,Yes
11.4,94,1017.9,Yes,Yes
19,69,1013.6,Yes,Yes
22.2,90,989.8,Yes,Yes
32.8,61,1004.6,Yes,No
0,56,1016.1,No,No
0,50,1019.9,No,No
0,49,1026,No,No
0,51,1028.7,No,No
0,47,1024.5,No,No
0,49,1020.9,No,No
0.4,77,1016.8,No,Yes
2.4,51,1020.6,Yes,No
0,47,1022.4,No,No
0,35,1017.9,No,Yes
1.6,46,1016.2,Yes,No
0,48,1019.8,No,No
0,44,1017.2,No,Yes
3.4,96,1010.7,Yes,Yes
50.8,67,1011.3,Yes,Yes
1.2,52,1016.5,Yes,No
0,51,1016.3,No,No
0,49,1019.3,No,No
0,48,1020.8,No,No
0,37,1023,No,No
0,42,1022.6,No,No
0,46,1018.3,No,Yes
2.2,64,1013.8,Yes,No
0,47,1024.3,No,No
0,45,1019.9,No,No
0.6,47,1014.3,No,No
0,41,1012.5,No,No
0,78,1012.1,No,Yes
52.6,73,1013.9,Yes,Yes
2.4,32,1014.3,Yes,No
0,42,1015.4,No,No
0,34,1017.5,No,No
0,36,1015.7,No,No
0,39,1020.9,No,No
0,39,1026,No,No
0,29,1022.1,No,No
0,36,1022.7,No,No
0,34,1023.5,No,No
0,31,1021.8,No,No
0,57,1018.2,No,Yes
4,68,1018.1,Yes,Yes
19.2,66,1012.6,Yes,Yes
18.8,89,1007.6,Yes,Yes
14.8,51,1013.6,Yes,Yes
1.6,81,1015,Yes,Yes
12,73,1014.1,Yes,No
0.6,90,1015,No,Yes
18.4,75,1014.6,Yes,Yes
1.2,48,1012.6,Yes,No
0,31,1011.5,No,No
0,38,1012.7,No,No
0,44,1011.5,No,Yes
3.2,55,1009.4,Yes,Yes
25.6,50,1009.1,Yes,No
0,38,1010.1,No,No
0,35,1009.2,No,No
0,33,1005.6,No,No
0,32,1014.3,No,No
0,36,1015,No,No
0,28,1008.7,No,No
0.4,21,1004.6,No,No
0,31,1005.3,No,No
1,52,1002.4,No,Yes
3,55,998.8,Yes,Yes
6.2,50,1002.3,Yes,Yes
1.6,48,1010.5,Yes,No
0,37,1018.4,No,No
0,24,1018.1,No,No
0,33,1022.3,No,No
0,72,1014.6,No,No
1,35,1005.4,No,No
0,38,1006.7,No,No
0,35,1016.8,No,No
0,28,1015.6,No,No
0,25,1015.8,No,No
0,22,1014.3,No,No
0,29,1011.1,No,No
0.6,27,1010.9,No,No
0,28,1011.8,No,No
0,38,1011.6,No,No
0,31,1006.2,No,No
0,34,1010.3,No,No
0,42,1012.7,No,No
0,40,1012,No,No
0,41,1013.8,No,Yes
35,40,1013.6,Yes,Yes
1.4,87,1011.7,Yes,Yes
5,84,1006.9,Yes,Yes
14.2,59,1009.5,Yes,Yes
2.4,90,1006,Yes,Yes
13.8,34,1009.4,Yes,No
0,46,1009.7,No,No
0,36,1004.4,No,No
0,43,1007.4,No,No
0,36,1009.1,No,No
0,38,1011.8,No,No
0,40,1012.4,No,No
0,37,1013.6,No,No
0,41,1010.4,No,No
0,29,1002.5,No,No
0,30,1008,No,No
0,40,1008.2,No,No
0,30,1014.5,No,No
0,20,1017.8,No,No
0,32,1018.9,No,No
0,31,1019,No,No
0,25,1015.3,No,No
0,16,1009,No,No
0,49,1014.1,No,Yes
3.4,50,1012.3,Yes,Yes
2.6,99,1012.7,Yes,Yes
99.2,95,1008.6,Yes,Yes
51,45,1017,Yes,No
0,40,1023.6,No,No
0,50,1018.7,No,No
0,43,1022,No,No
0,55,1020.1,No,Yes
39.8,94,1013.4,Yes,Yes
28.2,57,1014.2,Yes,No
0,50,1017.6,No,No
0,45,1022.2,No,No
0,40,1022.3,No,No
0.2,85,1017.6,No,Yes
5.8,55,1012.9,Yes,No
0,51,1013.7,No,Yes
12.2,67,1005.2,Yes,Yes
12.8,50,1010.1,Yes,No
0,40,1015.2,No,No
0,43,1022.1,No,No
0.2,43,1024,No,No
0,43,1019.2,No,No
0,36,1014.1,No,No
0,36,1011.3,No,No
0.2,87,1009.9,No,Yes
11.8,55,1007.8,Yes,No
0,40,1006.5,No,No
0,41,1015.8,No,No
0,45,1012.9,No,No
0,42,1014.3,No,No
0,30,1020.6,No,No
0,38,1025.8,No,No
0,42,1023.9,No,No
0,34,1017.5,No,No
0,57,1014.8,No,Yes
13.4,95,1012.3,Yes,Yes
10.2,54,1015.4,Yes,No
0.6,56,1018.8,No,No
0.6,61,1019.8,No,Yes
19.8,61,1021.3,Yes,No
0.2,56,1020.3,No,No
0.4,37,1017.3,No,No
0.2,51,1018.7,No,No
0,47,1015.4,No,No
0,43,1013.9,No,No
0,46,1011.9,No,No
0,59,1005.4,No,No
0,58,1001.4,No,No
0,63,1005.7,No,Yes
8,64,1003.7,Yes,No
0,49,1011.8,No,No
0,43,1020.8,No,No
0,47,1025.3,No,No
0,45,1026.9,No,No
0,52,1024,No,No
0,55,1018.7,No,No
0.2,47,1022.8,No,No
0,66,1019.6,No,No
0,57,1016.5,No,No
0,46,1016.6,No,No
0.6,47,1019.6,No,No
0.2,42,1024.3,No,No
0,53,1025.4,No,No
0,57,1020.7,No,No
0,39,1016,No,No
0,43,1017.9,No,No
0,43,1019.3,No,Yes
3.6,55,1010.6,Yes,No
0.4,89,1015.3,No,Yes
5,74,1015,Yes,Yes
1.8,46,1020.7,Yes,No
0,57,1031.5,No,No
0,74,1033,No,No
0,54,1031.8,No,No
0,48,1032,No,No
0,55,1031.5,No,No
0,48,1028.7,No,No
0,50,1025.4,No,No
0,53,1017,No,Yes
17.4,85,1002.9,Yes,Yes
3.6,65,1007.8,Yes,No
0,47,1017.3,No,No
0,52,1020.5,No,No
0,65,1021.9,No,No
0,72,1025.4,No,No
0,63,1026.5,No,No
0,51,1025.9,No,No
0,48,1024.8,No,No
0,53,1028,No,No
0,58,1027.8,No,No
0,57,1020.6,No,Yes
8.8,72,1016.3,Yes,No
0,75,1018.7,No,Yes
2,50,1017.9,Yes,No
0,79,1019.3,No,Yes
2.6,63,1019.2,Yes,No
0,51,1018.1,No,No
0,46,1021.3,No,No
0,50,1028.7,No,No
0.2,49,1029.1,No,No
0,41,1027.3,No,No
0,45,1025.3,No,No
0,48,1027,No,No
0,52,1023.6,No,No
1,68,1010.6,No,No
0.2,85,1015.1,No,No
0,92,1017.7,No,Yes
3.6,67,1015.4,Yes,Yes
10.6,58,1002,Yes,No
0.6,69,1013.3,No,Yes
3.4,70,1020.2,Yes,No
0,87,1028.3,No,No
0.4,65,1031,No,No
0,55,1029.2,No,No
0,47,1030.5,No,No
0,52,1035.7,No,No
0,50,1037.4,No,No
0,53,1038.9,No,No
0,59,1033.6,No,No
0,63,1026.7,No,No
0,80,1018.7,No,Yes
15.4,54,1013.2,Yes,Yes
3.8,73,1010.1,Yes,Yes
1.2,87,1010.8,Yes,Yes
4.4,54,1013.9,Yes,No
0,64,1026,No,Yes
4.2,87,1022.2,Yes,No
0,68,1017.7,No,Yes
6.6,64,1022.2,Yes,No
0,64,1025.4,No,No
0,88,1021.6,No,Yes
4,65,1029.3,Yes,No
0,46,1036.6,No,No
0,56,1031.3,No,No
0,95,1024,No,Yes
8.8,85,1018.8,Yes,Yes
1.8,66,1020.4,Yes,No
0.2,54,1021.5,No,No
0,46,1022.2,No,No
0,45,1023.5,No,No
0,45,1024.7,No,No
0.2,81,1021,No,Yes
16.2,80,1016.6,Yes,Yes
2.2,63,1022.3,Yes,No
0,49,1030.1,No,No
0,59,1031,No,No
0,52,1028.9,No,No
0.2,54,1024.6,No,No
1,76,1021.7,No,No
0,55,1021.6,No,No
0,44,1022.2,No,No
0.2,43,1022.2,No,No
0,37,1024,No,No
0,42,1023,No,Yes
14.6,92,1019.4,Yes,Yes
4.2,84,1016.4,Yes,Yes
8.2,76,1011.9,Yes,Yes
1.2,76,1010.2,Yes,Yes
3.6,83,1009.3,Yes,Yes
2.8,50,1012,Yes,No
0,43,1020.7,No,No
0,65,1025,No,No
0,50,1027.1,No,Yes
1.2,73,1025.6,Yes,No
0.2,45,1020.8,No,Yes
5.6,91,1011.8,Yes,Yes
30.8,91,1010.7,Yes,No
0.8,49,1021,No,No
0,32,1031.5,No,No
0,46,1037.3,No,No
0,47,1039.9,No,No
0,56,1037.3,No,No
0,56,1031.4,No,No
0,48,1025.6,No,No
0,36,1025.6,No,No
0,42,1023.7,No,No
0,44,1022.8,No,No
0,59,1019.2,No,No
0,47,1024.3,No,No
0,56,1025.4,No,No
0,42,1025.6,No,No
0,31,1028.4,No,No
0,44,1028.4,No,No
0,68,1024.2,No,Yes
3.2,52,1024.5,Yes,Yes
5,71,1014.9,Yes,No
1,44,1021.3,No,No
0,38,1022.7,No,No
0,47,1013.1,No,No
NA,42,1021.7,NA,No
